cyc.time_seconds,veh.history.speed_ach_meters_per_second,veh.pt_type.BEV.res.history.soc,battery_energy_step_j,battery_energy_cum_j
310.0,19.58066968,0.999975684503302,247956.58558597867,32286457.65820928
311.0,19.8041933,0.9999754995685709,251233.83222062024,32537691.4904299
312.0,19.9830122,0.9999753379200718,219599.4860812573,32757290.976511158
313.0,20.11712638,0.9999752008077567,186267.08001880525,32943558.05652996
314.0,20.20653583,0.9999750893602884,151401.3855565969,33094959.44208656
315.0,20.29594528,0.9999749772417115,152313.08689484422,33247272.528981403
316.0,20.34065001,0.9999748918934389,115945.62830149023,33363218.157282893
317.0,20.47476418,0.9999747516705754,190492.7601520814,33553710.917434976
318.0,20.56417363,0.9999746375241859,155067.8700111143,33708778.78744609
319.0,20.60887836,0.9999745504705818,118262.32111498222,33827041.10856107
320.0,20.78769726,0.9999743808878329,230378.164413337,34057419.27297441
321.0,20.92181144,0.9999742367254386,195844.61262866526,34253263.88560308
322.0,21.05592561,0.9999740913699353,197465.45116694854,34450729.33677003
323.0,21.32415396,0.9999738630059053,310232.53480859444,34760961.87157862
324.0,21.59238231,0.9999736312224021,314877.8889873215,35075839.760565944
325.0,21.90531539,0.9999733679461313,357660.813877491,35433500.57444344
326.0,22.21824847,0.9999731002646977,363645.2276657493,35797145.80210919
327.0,22.48647682,0.9999728569295342,330570.8194959316,36127716.62160512
328.0,22.7994099,0.9999725809922891,374860.74747342494,36502577.36907855
329.0,23.11234297,0.9999723005686919,380955.4567953027,36883532.82587385
330.0,23.42527605,0.9999720154608905,387318.94810363575,37270851.77397749
331.0,23.73820913,0.9999717255993519,393776.90029760794,37664628.67427509
332.0,24.05114221,0.999971430946038,400286.5268236428,38064915.20109873
333.0,24.36407528,0.9999711314624138,406848.50359576184,38471763.704694495
334.0,24.67700836,0.9999708271094174,413463.5455626209,38885227.25025711
335.0,24.94523671,0.9999705507310758,375459.9771625024,39260687.227419615
336.0,25.21346506,0.999970270629698,380517.72172593215,39641204.94914555
337.0,25.43698869,0.9999700192415746,341510.765735225,39982715.71488077
338.0,25.48169341,0.9999698969355081,166152.79133627357,40148868.50621705
339.0,25.52639814,0.9999697742662936,166646.1278922598,40315514.63410931
340.0,25.61580759,0.9999696175935695,212839.8957499537,40528354.52985927
341.0,25.74992177,0.9999694269979478,258924.15205423304,40787278.6819135
342.0,25.83933122,0.9999692682415843,215670.51974458635,41002949.20165809
343.0,25.92874067,0.9999691086467234,216809.61843538214,41219758.820093475
344.0,25.97344539,0.9999689823042243,171636.28505153977,41391395.105145015
345.0,26.10755957,0.999968787969122,264004.23639314354,41655399.34153816
346.0,26.24167374,0.9999685922205305,265924.46156281204,41921323.80310097
347.0,26.28637847,0.9999684632610782,175191.41581483732,42096515.21891581
348.0,26.3310832,0.9999683339246868,175703.48790290407,42272218.706818715
349.0,26.37578792,0.9999682042105885,176216.60244292955,42448435.30926164
350.0,26.37578792,0.9999681094200757,128772.9116586139,42577208.22092026
351.0,26.3310832,0.9999680503618804,80230.55833135889,42657438.77925161
352.0,26.28637847,0.9999679915720212,79866.02373657766,42737304.802988194
353.0,26.19696902,0.9999679695860425,29867.952060440886,42767172.75504863
354.0,26.10755957,0.999967948028959,29285.29793217338,42796458.0529808
355.0,26.01815012,0.9999679268973922,28707.23355434,42825165.286535144
356.0,25.97344539,0.9999678699633922,77344.83909901125,42902510.125634156
357.0,25.92874067,0.9999678132913097,76989.0240314791,42979499.14966564
358.0,25.88403594,0.9999677568803634,76634.27050461592,43056133.420170255
359.0,25.74992177,0.9999677669129524,-15101.686535132852,43041031.73363512
360.0,25.66051232,0.9999677474497556,26440.752904997604,43067472.48654012
361.0,25.57110287,0.9999677283952502,25885.54566311491,43093358.032203235
362.0,25.52639814,0.9999676740447145,73835.20260769837,43167193.23481093
363.0,25.48169341,0.9999676199481641,73490.16374092131,43240683.39855185
364.0,25.48169341,0.9999675315293655,120116.93790864028,43360800.33646049
365.0,25.43698869,0.9999674776860024,73146.20878685034,43433946.545247346
366.0,25.43698869,0.9999673895773297,119695.63186728685,43553642.177114636
367.0,25.43698869,0.999967301468657,119695.63186728685,43673337.808981925
368.0,25.48169341,0.9999671791625905,166152.79133627357,43839490.6003182
369.0,25.48169341,0.9999670907437919,120116.93790864028,43959607.53822684
370.0,25.48169341,0.9999670023249932,120116.93790864028,44079724.476135485
371.0,25.48169341,0.9999669139061946,120116.93790864028,44199841.41404413
372.0,25.48169341,0.999966825487396,120116.93790864028,44319958.35195277
373.0,25.48169341,0.9999667370685974,120116.93790864028,44440075.28986141
374.0,25.48169341,0.9999666486497988,120116.93790864028,44560192.22777005
375.0,25.48169341,0.9999665602310002,120116.93790864028,44680309.165678695
376.0,25.48169341,0.9999664718122016,120116.93790864028,44800426.10358734
377.0,25.43698869,0.9999664179688385,73146.20878685034,44873572.31237419
378.0,25.39228396,0.9999663643778889,72803.30494788956,44946375.61732208
379.0,25.25816979,0.9999663753557654,-16524.593032125063,44929851.02428996
380.0,25.12405561,0.9999663865796388,-16894.883156560056,44912956.1411334
381.0,25.03464616,0.9999663699070889,22649.659093946342,44935605.800227344
382.0,25.03464616,0.9999662845537539,115952.50555589427,45051558.30578324
383.0,25.03464616,0.999966199200419,115952.50555589427,45167510.81133914
384.0,25.07935089,0.9999660801286161,161759.04414953824,45329269.85548868
385.0,25.21346506,0.9999658950615165,251413.6548140945,45580683.510302775
386.0,25.34757924,0.9999657086213024,253279.0307526515,45833962.541055426
387.0,25.43698869,0.9999655536025802,210592.93410072514,46044555.47515615
388.0,25.52639814,0.9999653977582875,211714.47161719477,46256269.94677334
389.0,25.61580759,0.9999652410855634,212839.8957499537,46469109.8425233
390.0,25.66051232,0.9999651173223708,168132.29712467262,46637242.13964797
391.0,25.66051232,0.9999650276550656,121813.03413360011,46759055.17378157
392.0,25.57110287,0.9999650086005601,25885.54566311491,46784940.719444685
393.0,25.48169341,0.9999649899514034,25334.879488452774,46810275.59893314
394.0,25.43698869,0.9999649361080403,73146.20878685034,46883421.80771999
395.0,25.30287451,0.9999649470028059,-16399.489385503744,46867022.31833449
396.0,25.16876034,0.9999649581452353,-16772.288456542825,46850250.029877946
397.0,25.07935089,0.9999649412787698,22913.093511236733,46873163.123389184
398.0,25.21346506,0.9999647562116701,251413.6548140945,47124576.77820328
399.0,25.34757924,0.9999645697714561,253279.0307526515,47377855.80895593
400.0,25.52639814,0.9999643495462532,299175.9380992507,47677031.74705518
401.0,25.70521704,0.999964127212728,302040.09400386846,47979071.84105905
402.0,25.83933122,0.9999639356862925,260188.66260557447,48239260.50366463
403.0,25.92874067,0.9999637760914316,216809.61843538214,48456070.12210001
404.0,25.92874067,0.9999636845272459,124389.94621285169,48580460.06831286
405.0,25.92874067,0.9999635929630603,124389.94621285169,48704850.01452571
406.0,25.92874067,0.9999635013988746,124389.94621285169,48829239.96073856
407.0,25.92874067,0.9999634098346889,124389.94621285169,48953629.90695141
408.0,25.92874067,0.9999633182705032,124389.94621285169,49078019.85316426
409.0,25.88403594,0.999963261859557,76634.27050461592,49154654.12366888
410.0,25.83933122,0.9999632057089346,76280.62054163974,49230934.74421052
411.0,25.79462649,0.9999631498178561,75928.03027289867,49306862.77448342
412.0,25.79462649,0.9999630592057395,123096.56044546323,49429959.334928885
413.0,25.83933122,0.9999629339732429,170128.34669062303,49600087.68161951
414.0,25.88403594,0.999962808371517,170629.94463901428,49770717.62625852
415.0,25.92874067,0.9999626823997804,171132.6041928969,49941850.23045142
416.0,25.97344539,0.9999625560572812,171636.28505153977,50113486.51550296
417.0,26.10755957,0.999962361722179,264004.23639314354,50377490.751896106
418.0,26.3310832,0.999962098681689,357340.5057471756,50734831.25764328
419.0,26.42049265,0.9999619344232443,223145.0970336357,50957976.35467692
420.0,26.55460682,0.9999617353526016,270437.46821906284,51228413.82289598
421.0,26.73342572,0.999961500665788,318822.0361194893,51547235.85901547
422.0,26.77813045,0.9999613675172245,180882.32359688877,51728118.18261236
423.0,26.77813045,0.9999612697529915,132812.71051925962,51860930.89313162
424.0,26.73342572,0.9999612082436227,83560.47756781032,51944491.37069943
425.0,26.64401627,0.9999611840623437,32850.26749057128,51977341.63819
426.0,26.55460682,0.9999611603269147,32244.580183709822,52009586.21837371
427.0,26.46519737,0.999961137033937,31643.51032973006,52041229.72870344
428.0,26.42049265,0.9999610774366747,80962.88071346923,52122192.60941691
429.0,26.37578792,0.999961018109356,80596.16250211812,52202788.77191903
430.0,26.3310832,0.9999609590511607,80230.55833135889,52283019.33025038
431.0,26.24167374,0.9999609368494744,30160.99074257665,52313180.32099296
432.0,26.19696902,0.9999608785938561,79140.25754969596,52392320.57854266
433.0,26.15226429,0.9999608206041677,78778.99161458034,52471099.57015724
434.0,26.10755957,0.9999607628795928,78418.83504258128,52549518.40519982
435.0,26.10755957,0.9999606700346453,126129.8612105473,52675648.266410366
436.0,26.06285484,0.9999606125743997,78059.74363801412,52753708.01004838
437.0,26.01815012,0.9999605553776683,77701.75968596508,52831409.769734345
438.0,25.97344539,0.9999604984436682,77344.83909901125,52908754.60883336
439.0,25.92874067,0.9999604417715857,76989.0240314791,52985743.63286484
